audioNoise attentionContext faceDirection bodyDirection audioInput robotMotionSpeed robotPose robotSoundVolume attentionLevel faceDirection_1 bodyDirection_1 audioInput_1 robotMotionSpeed_1 robotPose_1 robotSoundVolume_1 attentionLevel_1 faceDirection_2 bodyDirection_2 audioInput_2 robotMotionSpeed_2 robotPose_2 robotSoundVolume_2 attentionLevel_2
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
Low Neutral None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect None_HAE_Face None_HAE_Body Low Low Far Low Neglect
